geolocation_zip_code_prefix,geolocation_city,geolocation_state
1001,sao paulo,SP
1002,sao paulo,SP
1003,sao paulo,SP
1004,sao paulo,SP
1005,sao paulo,SP
1006,sao paulo,SP
1007,sao paulo,SP
1008,sao paulo,SP
1009,sao paulo,SP
1010,sao paulo,SP
1011,sao paulo,SP
1012,são paulo,SP
1013,sao paulo,SP
1014,sao paulo,SP
1015,sao paulo,SP
1016,sao paulo,SP
1017,são paulo,SP
1018,sao paulo,SP
1019,sao paulo,SP
1020,são paulo,SP
1021,sao paulo,SP
1022,sao paulo,SP
1023,sao paulo,SP
1024,são paulo,SP
1025,sao paulo,SP
1026,são paulo,SP
1027,sao paulo,SP
1028,sao paulo,SP
1029,sao paulo,SP
1030,são paulo,SP
1031,sao paulo,SP
1032,sao paulo,SP
1033,sao paulo,SP
1034,sao paulo,SP
1035,sao paulo,SP
1036,sao paulo,SP
1037,sao paulo,SP
1038,sao paulo,SP
1039,sao paulo,SP
1040,sao paulo,SP
1041,sao paulo,SP
1042,sao paulo,SP
1043,são paulo,SP
1044,sao paulo,SP
1045,sao paulo,SP
1046,sao paulo,SP
1047,sao paulo,SP
1048,são paulo,SP
1049,sao paulo,SP
1050,sao paulo,SP
1101,sao paulo,SP
1102,são paulo,SP
1103,são paulo,SP
1104,sao paulo,SP
1105,sao paulo,SP
1106,sao paulo,SP
1107,sao paulo,SP
1108,sao paulo,SP
1109,sao paulo,SP
1120,sao paulo,SP
1121,sao paulo,SP
1122,são paulo,SP
1123,sao paulo,SP
1124,sao paulo,SP
1125,sao paulo,SP
1126,sao paulo,SP
1127,sao paulo,SP
1128,sao paulo,SP
1129,sao paulo,SP
1130,sao paulo,SP
1131,sao paulo,SP
1132,sao paulo,SP
1133,sao paulo,SP
1134,são paulo,SP
1135,sao paulo,SP
1136,são paulo,SP
1137,são paulo,SP
1138,sao paulo,SP
1139,sao paulo,SP
1140,sao paulo,SP
1141,são paulo,SP
1142,sao paulo,SP
1144,sao paulo,SP
1150,sao paulo,SP
1151,sao paulo,SP
1152,sao paulo,SP
1153,são paulo,SP
1154,sao paulo,SP
1155,sao paulo,SP
1156,são paulo,SP
1189,sao paulo,SP
1200,sao paulo,SP
1201,sao paulo,SP
1202,são paulo,SP
1203,sao paulo,SP
1204,sao paulo,SP
1205,são paulo,SP
1206,sao paulo,SP
1207,sao paulo,SP
1208,sao paulo,SP
1209,sao paulo,SP
1210,são paulo,SP
1211,sao paulo,SP
1212,são paulo,SP
1213,sao paulo,SP
1214,sao paulo,SP
1215,são paulo,SP
1216,sao paulo,SP
1217,sao paulo,SP
1218,são paulo,SP
1219,sao paulo,SP
1220,sao paulo,SP
1221,sao paulo,SP
1222,são paulo,SP
1223,sao paulo,SP
1224,sao paulo,SP
1225,sao paulo,SP
1226,são paulo,SP
1227,sao paulo,SP
1228,sao paulo,SP
1229,sao paulo,SP
1230,sao paulo,SP
1231,sao paulo,SP
1232,sao paulo,SP
1233,sao paulo,SP
1234,sao paulo,SP
1235,sao paulo,SP
1236,sao paulo,SP
1237,sao paulo,SP
1238,sao paulo,SP
1239,sao paulo,SP
1240,sao paulo,SP
1241,são paulo,SP
1242,sao paulo,SP
1243,sao paulo,SP
1244,sao paulo,SP
1245,são paulo,SP
1246,sao paulo,SP
1247,são paulo,SP
1248,sao paulo,SP
1249,sao paulo,SP
1250,sao paulo,SP
1251,são paulo,SP
1252,sao paulo,SP
1253,sao paulo,SP
1254,são paulo,SP
1255,sao paulo,SP
1256,são paulo,SP
1257,sao paulo,SP
1258,sao paulo,SP
1259,sao paulo,SP
1262,sao paulo,SP
1290,são paulo,SP
1301,sao paulo,SP
1302,sao paulo,SP
1303,sao paulo,SP
1304,sao paulo,SP
1305,sao paulo,SP
1306,sao paulo,SP
1307,sao paulo,SP
1308,sao paulo,SP
1309,são paulo,SP
1310,sao paulo,SP
1311,sao paulo,SP
1312,sao paulo,SP
1313,sao paulo,SP
1314,sao paulo,SP
1315,sao paulo,SP
1316,sao paulo,SP
1317,sao paulo,SP
1318,sao paulo,SP
1319,são paulo,SP
1320,sao paulo,SP
1321,sao paulo,SP
1322,sao paulo,SP
1323,sao paulo,SP
1324,sao paulo,SP
1325,sao paulo,SP
1326,sao paulo,SP
1327,sao paulo,SP
1328,sao paulo,SP
1329,sao paulo,SP
1330,sao paulo,SP
1331,sao paulo,SP
1332,sao paulo,SP
1333,sao paulo,SP
1401,sao paulo,SP
1402,sao paulo,SP
1403,são paulo,SP
1404,sao paulo,SP
1405,sao paulo,SP
1406,são paulo,SP
1407,sao paulo,SP
1408,sao paulo,SP
1409,sao paulo,SP
1410,sao paulo,SP
1411,sao paulo,SP
1412,são paulo,SP
1413,são paulo,SP
1414,são paulo,SP
1415,sao paulo,SP
1416,sao paulo,SP
1417,sao paulo,SP
1418,sao paulo,SP
1419,sao paulo,SP
1420,sao paulo,SP
1421,são paulo,SP
1422,sao paulo,SP
1423,sao paulo,SP
1424,sao paulo,SP
1425,sao paulo,SP
1426,sao paulo,SP
1427,são paulo,SP
1428,sao paulo,SP
1429,são paulo,SP
1430,sao paulo,SP
1431,sao paulo,SP
1432,sao paulo,SP
1433,são paulo,SP
1434,sao paulo,SP
1435,sao paulo,SP
1436,sao paulo,SP
1437,sao paulo,SP
1438,sao paulo,SP
1439,sao paulo,SP
1440,sao paulo,SP
1441,são paulo,SP
1442,sao paulo,SP
1443,sao paulo,SP
1444,sao paulo,SP
1445,sao paulo,SP
1446,sao paulo,SP
1447,sao paulo,SP
1448,sao paulo,SP
1449,sao paulo,SP
1450,sao paulo,SP
1451,sao paulo,SP
1452,sao paulo,SP
1453,sao paulo,SP
